# names.data -- data file defining names of all attributes found in TNEF file
# sym val name
MAPI_ACKNOWLEDGEMENT_MODE 0x0001 MAPI_ACKNOWLEDGEMENT_MODE
MAPI_ALTERNATE_RECIPIENT_ALLOWED 0x0002 MAPI_ALTERNATE_RECIPIENT_ALLOWED
MAPI_AUTHORIZING_USERS 0x0003 MAPI_AUTHORIZING_USERS
MAPI_AUTO_FORWARD_COMMENT 0x0004 MAPI_AUTO_FORWARD_COMMENT
MAPI_AUTO_FORWARDED 0x0005 MAPI_AUTO_FORWARDED
MAPI_CONTENT_CONFIDENTIALITY_ALGORITHM_ID 0x0006 MAPI_CONTENT_CONFIDENTIALITY_ALGORITHM_ID
MAPI_CONTENT_CORRELATOR 0x0007 MAPI_CONTENT_CORRELATOR
MAPI_CONTENT_IDENTIFIER 0x0008 MAPI_CONTENT_IDENTIFIER
MAPI_CONTENT_LENGTH 0x0009 MAPI_CONTENT_LENGTH
MAPI_CONTENT_RETURN_REQUESTED 0x000A MAPI_CONTENT_RETURN_REQUESTED
MAPI_CONVERSATION_KEY 0x000B MAPI_CONVERSATION_KEY
MAPI_CONVERSION_EITS 0x000C MAPI_CONVERSION_EITS
MAPI_CONVERSION_WITH_LOSS_PROHIBITED 0x000D MAPI_CONVERSION_WITH_LOSS_PROHIBITED
MAPI_CONVERTED_EITS 0x000E MAPI_CONVERTED_EITS
MAPI_DEFERRED_DELIVERY_TIME 0x000F MAPI_DEFERRED_DELIVERY_TIME
MAPI_DELIVER_TIME 0x0010 MAPI_DELIVER_TIME
MAPI_DISCARD_REASON 0x0011 MAPI_DISCARD_REASON
MAPI_DISCLOSURE_OF_RECIPIENTS 0x0012 MAPI_DISCLOSURE_OF_RECIPIENTS
MAPI_DL_EXPANSION_HISTORY 0x0013 MAPI_DL_EXPANSION_HISTORY
MAPI_DL_EXPANSION_PROHIBITED 0x0014 MAPI_DL_EXPANSION_PROHIBITED
MAPI_EXPIRY_TIME 0x0015 MAPI_EXPIRY_TIME
MAPI_IMPLICIT_CONVERSION_PROHIBITED 0x0016 MAPI_IMPLICIT_CONVERSION_PROHIBITED
MAPI_IMPORTANCE 0x0017 MAPI_IMPORTANCE
MAPI_IPM_ID 0x0018 MAPI_IPM_ID
MAPI_LATEST_DELIVERY_TIME 0x0019 MAPI_LATEST_DELIVERY_TIME
MAPI_MESSAGE_CLASS 0x001A MAPI_MESSAGE_CLASS
MAPI_MESSAGE_DELIVERY_ID 0x001B MAPI_MESSAGE_DELIVERY_ID
MAPI_MESSAGE_SECURITY_LABEL 0x001E MAPI_MESSAGE_SECURITY_LABEL
MAPI_OBSOLETED_IPMS 0x001F MAPI_OBSOLETED_IPMS
MAPI_ORIGINALLY_INTENDED_RECIPIENT_NAME 0x0020 MAPI_ORIGINALLY_INTENDED_RECIPIENT_NAME
MAPI_ORIGINAL_EITS 0x0021 MAPI_ORIGINAL_EITS
MAPI_ORIGINATOR_CERTIFICATE 0x0022 MAPI_ORIGINATOR_CERTIFICATE
MAPI_ORIGINATOR_DELIVERY_REPORT_REQUESTED 0x0023 MAPI_ORIGINATOR_DELIVERY_REPORT_REQUESTED
MAPI_ORIGINATOR_RETURN_ADDRESS 0x0024 MAPI_ORIGINATOR_RETURN_ADDRESS
MAPI_PARENT_KEY 0x0025 MAPI_PARENT_KEY
MAPI_PRIORITY 0x0026 MAPI_PRIORITY
MAPI_ORIGIN_CHECK 0x0027 MAPI_ORIGIN_CHECK
MAPI_PROOF_OF_SUBMISSION_REQUESTED 0x0028 MAPI_PROOF_OF_SUBMISSION_REQUESTED
MAPI_READ_RECEIPT_REQUESTED 0x0029 MAPI_READ_RECEIPT_REQUESTED
MAPI_RECEIPT_TIME 0x002A MAPI_RECEIPT_TIME
MAPI_RECIPIENT_REASSIGNMENT_PROHIBITED 0x002B MAPI_RECIPIENT_REASSIGNMENT_PROHIBITED
MAPI_REDIRECTION_HISTORY 0x002C MAPI_REDIRECTION_HISTORY
MAPI_RELATED_IPMS 0x002D MAPI_RELATED_IPMS
MAPI_ORIGINAL_SENSITIVITY 0x002E MAPI_ORIGINAL_SENSITIVITY
MAPI_LANGUAGES 0x002F MAPI_LANGUAGES
MAPI_REPLY_TIME 0x0030 MAPI_REPLY_TIME
MAPI_REPORT_TAG 0x0031 MAPI_REPORT_TAG
MAPI_REPORT_TIME 0x0032 MAPI_REPORT_TIME
MAPI_RETURNED_IPM 0x0033 MAPI_RETURNED_IPM
MAPI_SECURITY 0x0034 MAPI_SECURITY
MAPI_INCOMPLETE_COPY 0x0035 MAPI_INCOMPLETE_COPY
MAPI_SENSITIVITY 0x0036 MAPI_SENSITIVITY
MAPI_SUBJECT 0x0037 MAPI_SUBJECT
MAPI_SUBJECT_IPM 0x0038 MAPI_SUBJECT_IPM
MAPI_CLIENT_SUBMIT_TIME 0x0039 MAPI_CLIENT_SUBMIT_TIME
MAPI_REPORT_NAME 0x003A MAPI_REPORT_NAME
MAPI_SENT_REPRESENTING_SEARCH_KEY 0x003B MAPI_SENT_REPRESENTING_SEARCH_KEY
MAPI_X400_CONTENT_TYPE 0x003C MAPI_X400_CONTENT_TYPE
MAPI_SUBJECT_PREFIX 0x003D MAPI_SUBJECT_PREFIX
MAPI_NON_RECEIPT_REASON 0x003E MAPI_NON_RECEIPT_REASON
MAPI_RECEIVED_BY_ENTRYID 0x003F MAPI_RECEIVED_BY_ENTRYID
MAPI_RECEIVED_BY_NAME 0x0040 MAPI_RECEIVED_BY_NAME
MAPI_SENT_REPRESENTING_ENTRYID 0x0041 MAPI_SENT_REPRESENTING_ENTRYID
MAPI_SENT_REPRESENTING_NAME 0x0042 MAPI_SENT_REPRESENTING_NAME
MAPI_RCVD_REPRESENTING_ENTRYID 0x0043 MAPI_RCVD_REPRESENTING_ENTRYID
MAPI_RCVD_REPRESENTING_NAME 0x0044 MAPI_RCVD_REPRESENTING_NAME
MAPI_REPORT_ENTRYID 0x0045 MAPI_REPORT_ENTRYID
MAPI_READ_RECEIPT_ENTRYID 0x0046 MAPI_READ_RECEIPT_ENTRYID
MAPI_MESSAGE_SUBMISSION_ID 0x0047 MAPI_MESSAGE_SUBMISSION_ID
MAPI_PROVIDER_SUBMIT_TIME 0x0048 MAPI_PROVIDER_SUBMIT_TIME
MAPI_ORIGINAL_SUBJECT 0x0049 MAPI_ORIGINAL_SUBJECT
MAPI_DISC_VAL 0x004A MAPI_DISC_VAL
MAPI_ORIG_MESSAGE_CLASS 0x004B MAPI_ORIG_MESSAGE_CLASS
MAPI_ORIGINAL_AUTHOR_ENTRYID 0x004C MAPI_ORIGINAL_AUTHOR_ENTRYID
MAPI_ORIGINAL_AUTHOR_NAME 0x004D MAPI_ORIGINAL_AUTHOR_NAME
MAPI_ORIGINAL_SUBMIT_TIME 0x004E MAPI_ORIGINAL_SUBMIT_TIME
MAPI_REPLY_RECIPIENT_ENTRIES 0x004F MAPI_REPLY_RECIPIENT_ENTRIES
MAPI_REPLY_RECIPIENT_NAMES 0x0050 MAPI_REPLY_RECIPIENT_NAMES
MAPI_RECEIVED_BY_SEARCH_KEY 0x0051 MAPI_RECEIVED_BY_SEARCH_KEY
MAPI_RCVD_REPRESENTING_SEARCH_KEY 0x0052 MAPI_RCVD_REPRESENTING_SEARCH_KEY
MAPI_READ_RECEIPT_SEARCH_KEY 0x0053 MAPI_READ_RECEIPT_SEARCH_KEY
MAPI_REPORT_SEARCH_KEY 0x0054 MAPI_REPORT_SEARCH_KEY
MAPI_ORIGINAL_DELIVERY_TIME 0x0055 MAPI_ORIGINAL_DELIVERY_TIME
MAPI_ORIGINAL_AUTHOR_SEARCH_KEY 0x0056 MAPI_ORIGINAL_AUTHOR_SEARCH_KEY
MAPI_MESSAGE_TO_ME 0x0057 MAPI_MESSAGE_TO_ME
MAPI_MESSAGE_CC_ME 0x0058 MAPI_MESSAGE_CC_ME
MAPI_MESSAGE_RECIP_ME 0x0059 MAPI_MESSAGE_RECIP_ME
MAPI_ORIGINAL_SENDER_NAME 0x005A MAPI_ORIGINAL_SENDER_NAME
MAPI_ORIGINAL_SENDER_ENTRYID 0x005B MAPI_ORIGINAL_SENDER_ENTRYID
MAPI_ORIGINAL_SENDER_SEARCH_KEY 0x005C MAPI_ORIGINAL_SENDER_SEARCH_KEY
MAPI_ORIGINAL_SENT_REPRESENTING_NAME 0x005D MAPI_ORIGINAL_SENT_REPRESENTING_NAME
MAPI_ORIGINAL_SENT_REPRESENTING_ENTRYID 0x005E MAPI_ORIGINAL_SENT_REPRESENTING_ENTRYID
MAPI_ORIGINAL_SENT_REPRESENTING_SEARCH_KEY 0x005F MAPI_ORIGINAL_SENT_REPRESENTING_SEARCH_KEY
MAPI_START_DATE 0x0060 MAPI_START_DATE
MAPI_END_DATE 0x0061 MAPI_END_DATE
MAPI_OWNER_APPT_ID 0x0062 MAPI_OWNER_APPT_ID
MAPI_RESPONSE_REQUESTED 0x0063 MAPI_RESPONSE_REQUESTED
MAPI_SENT_REPRESENTING_ADDRTYPE 0x0064 MAPI_SENT_REPRESENTING_ADDRTYPE
MAPI_SENT_REPRESENTING_EMAIL_ADDRESS 0x0065 MAPI_SENT_REPRESENTING_EMAIL_ADDRESS
MAPI_ORIGINAL_SENDER_ADDRTYPE 0x0066 MAPI_ORIGINAL_SENDER_ADDRTYPE
MAPI_ORIGINAL_SENDER_EMAIL_ADDRESS 0x0067 MAPI_ORIGINAL_SENDER_EMAIL_ADDRESS
MAPI_ORIGINAL_SENT_REPRESENTING_ADDRTYPE 0x0068 MAPI_ORIGINAL_SENT_REPRESENTING_ADDRTYPE
MAPI_ORIGINAL_SENT_REPRESENTING_EMAIL_ADDRESS 0x0069 MAPI_ORIGINAL_SENT_REPRESENTING_EMAIL_ADDRESS
MAPI_CONVERSATION_TOPIC 0x0070 MAPI_CONVERSATION_TOPIC
MAPI_CONVERSATION_INDEX 0x0071 MAPI_CONVERSATION_INDEX
MAPI_ORIGINAL_DISPLAY_BCC 0x0072 MAPI_ORIGINAL_DISPLAY_BCC
MAPI_ORIGINAL_DISPLAY_CC 0x0073 MAPI_ORIGINAL_DISPLAY_CC
MAPI_ORIGINAL_DISPLAY_TO 0x0074 MAPI_ORIGINAL_DISPLAY_TO
MAPI_RECEIVED_BY_ADDRTYPE 0x0075 MAPI_RECEIVED_BY_ADDRTYPE
MAPI_RECEIVED_BY_EMAIL_ADDRESS 0x0076 MAPI_RECEIVED_BY_EMAIL_ADDRESS
MAPI_RCVD_REPRESENTING_ADDRTYPE 0x0077 MAPI_RCVD_REPRESENTING_ADDRTYPE
MAPI_RCVD_REPRESENTING_EMAIL_ADDRESS 0x0078 MAPI_RCVD_REPRESENTING_EMAIL_ADDRESS
MAPI_ORIGINAL_AUTHOR_ADDRTYPE 0x0079 MAPI_ORIGINAL_AUTHOR_ADDRTYPE
MAPI_ORIGINAL_AUTHOR_EMAIL_ADDRESS 0x007A MAPI_ORIGINAL_AUTHOR_EMAIL_ADDRESS
MAPI_ORIGINALLY_INTENDED_RECIP_ADDRTYPE 0x007B MAPI_ORIGINALLY_INTENDED_RECIP_ADDRTYPE
MAPI_ORIGINALLY_INTENDED_RECIP_EMAIL_ADDRESS 0x007C MAPI_ORIGINALLY_INTENDED_RECIP_EMAIL_ADDRESS
MAPI_TRANSPORT_MESSAGE_HEADERS 0x007D MAPI_TRANSPORT_MESSAGE_HEADERS
MAPI_DELEGATION 0x007E MAPI_DELEGATION
MAPI_TNEF_CORRELATION_KEY 0x007F MAPI_TNEF_CORRELATION_KEY
MAPI_BODY 0x1000 MAPI_BODY
MAPI_REPORT_TEXT 0x1001 MAPI_REPORT_TEXT
MAPI_ORIGINATOR_AND_DL_EXPANSION_HISTORY 0x1002 MAPI_ORIGINATOR_AND_DL_EXPANSION_HISTORY
MAPI_REPORTING_DL_NAME 0x1003 MAPI_REPORTING_DL_NAME
MAPI_REPORTING_MTA_CERTIFICATE 0x1004 MAPI_REPORTING_MTA_CERTIFICATE

MAPI_RTF_SYNC_BODY_CRC 0x1006 MAPI_RTF_SYNC_BODY_CRC
MAPI_RTF_SYNC_BODY_COUNT 0x1007 MAPI_RTF_SYNC_BODY_COUNT
MAPI_RTF_SYNC_BODY_TAG 0x1008 MAPI_RTF_SYNC_BODY_TAG
MAPI_RTF_COMPRESSED 0x1009 MAPI_RTF_COMPRESSED
MAPI_RTF_SYNC_PREFIX_COUNT 0x1010 MAPI_RTF_SYNC_PREFIX_COUNT
MAPI_RTF_SYNC_TRAILING_COUNT 0x1011 MAPI_RTF_SYNC_TRAILING_COUNT
MAPI_ORIGINALLY_INTENDED_RECIP_ENTRYID 0x1012 MAPI_ORIGINALLY_INTENDED_RECIP_ENTRYID
MAPI_CONTENT_INTEGRITY_CHECK 0x0C00 MAPI_CONTENT_INTEGRITY_CHECK
MAPI_EXPLICIT_CONVERSION 0x0C01 MAPI_EXPLICIT_CONVERSION
MAPI_IPM_RETURN_REQUESTED 0x0C02 MAPI_IPM_RETURN_REQUESTED
MAPI_MESSAGE_TOKEN 0x0C03 MAPI_MESSAGE_TOKEN
MAPI_NDR_REASON_CODE 0x0C04 MAPI_NDR_REASON_CODE
MAPI_NDR_DIAG_CODE 0x0C05 MAPI_NDR_DIAG_CODE
MAPI_NON_RECEIPT_NOTIFICATION_REQUESTED 0x0C06 MAPI_NON_RECEIPT_NOTIFICATION_REQUESTED
MAPI_DELIVERY_POINT 0x0C07 MAPI_DELIVERY_POINT
MAPI_ORIGINATOR_NON_DELIVERY_REPORT_REQUESTED 0x0C08 MAPI_ORIGINATOR_NON_DELIVERY_REPORT_REQUESTED
MAPI_ORIGINATOR_REQUESTED_ALTERNATE_RECIPIENT 0x0C09 MAPI_ORIGINATOR_REQUESTED_ALTERNATE_RECIPIENT
MAPI_PHYSICAL_DELIVERY_BUREAU_FAX_DELIVERY 0x0C0A MAPI_PHYSICAL_DELIVERY_BUREAU_FAX_DELIVERY
MAPI_PHYSICAL_DELIVERY_MODE 0x0C0B MAPI_PHYSICAL_DELIVERY_MODE
MAPI_PHYSICAL_DELIVERY_REPORT_REQUEST 0x0C0C MAPI_PHYSICAL_DELIVERY_REPORT_REQUEST
MAPI_PHYSICAL_FORWARDING_ADDRESS 0x0C0D MAPI_PHYSICAL_FORWARDING_ADDRESS
MAPI_PHYSICAL_FORWARDING_ADDRESS_REQUESTED 0x0C0E MAPI_PHYSICAL_FORWARDING_ADDRESS_REQUESTED
MAPI_PHYSICAL_FORWARDING_PROHIBITED 0x0C0F MAPI_PHYSICAL_FORWARDING_PROHIBITED
MAPI_PHYSICAL_RENDITION_ATTRIBUTES 0x0C10 MAPI_PHYSICAL_RENDITION_ATTRIBUTES
MAPI_PROOF_OF_DELIVERY 0x0C11 MAPI_PROOF_OF_DELIVERY
MAPI_PROOF_OF_DELIVERY_REQUESTED 0x0C12 MAPI_PROOF_OF_DELIVERY_REQUESTED
MAPI_RECIPIENT_CERTIFICATE 0x0C13 MAPI_RECIPIENT_CERTIFICATE
MAPI_RECIPIENT_NUMBER_FOR_ADVICE 0x0C14 MAPI_RECIPIENT_NUMBER_FOR_ADVICE
MAPI_RECIPIENT_TYPE 0x0C15 MAPI_RECIPIENT_TYPE
MAPI_REGISTERED_MAIL_TYPE 0x0C16 MAPI_REGISTERED_MAIL_TYPE
MAPI_REPLY_REQUESTED 0x0C17 MAPI_REPLY_REQUESTED
MAPI_REQUESTED_DELIVERY_METHOD 0x0C18 MAPI_REQUESTED_DELIVERY_METHOD
MAPI_SENDER_ENTRYID 0x0C19 MAPI_SENDER_ENTRYID
MAPI_SENDER_NAME 0x0C1A MAPI_SENDER_NAME
MAPI_SUPPLEMENTARY_INFO 0x0C1B MAPI_SUPPLEMENTARY_INFO
MAPI_TYPE_OF_MTS_USER 0x0C1C MAPI_TYPE_OF_MTS_USER
MAPI_SENDER_SEARCH_KEY 0x0C1D MAPI_SENDER_SEARCH_KEY
MAPI_SENDER_ADDRTYPE 0x0C1E MAPI_SENDER_ADDRTYPE
MAPI_SENDER_EMAIL_ADDRESS 0x0C1F MAPI_SENDER_EMAIL_ADDRESS
MAPI_CURRENT_VERSION 0x0E00 MAPI_CURRENT_VERSION
MAPI_DELETE_AFTER_SUBMIT 0x0E01 MAPI_DELETE_AFTER_SUBMIT
MAPI_DISPLAY_BCC 0x0E02 MAPI_DISPLAY_BCC
MAPI_DISPLAY_CC 0x0E03 MAPI_DISPLAY_CC
MAPI_DISPLAY_TO 0x0E04 MAPI_DISPLAY_TO
MAPI_PARENT_DISPLAY 0x0E05 MAPI_PARENT_DISPLAY
MAPI_MESSAGE_DELIVERY_TIME 0x0E06 MAPI_MESSAGE_DELIVERY_TIME
MAPI_MESSAGE_FLAGS 0x0E07 MAPI_MESSAGE_FLAGS
MAPI_MESSAGE_SIZE 0x0E08 MAPI_MESSAGE_SIZE
MAPI_PARENT_ENTRYID 0x0E09 MAPI_PARENT_ENTRYID
MAPI_SENTMAIL_ENTRYID 0x0E0A MAPI_SENTMAIL_ENTRYID
MAPI_CORRELATE 0x0E0C MAPI_CORRELATE
MAPI_CORRELATE_MTSID 0x0E0D MAPI_CORRELATE_MTSID
MAPI_DISCRETE_VALUES 0x0E0E MAPI_DISCRETE_VALUES
MAPI_RESPONSIBILITY 0x0E0F MAPI_RESPONSIBILITY
MAPI_SPOOLER_STATUS 0x0E10 MAPI_SPOOLER_STATUS
MAPI_TRANSPORT_STATUS 0x0E11 MAPI_TRANSPORT_STATUS
MAPI_MESSAGE_RECIPIENTS 0x0E12 MAPI_MESSAGE_RECIPIENTS
MAPI_MESSAGE_ATTACHMENTS 0x0E13 MAPI_MESSAGE_ATTACHMENTS
MAPI_SUBMIT_FLAGS 0x0E14 MAPI_SUBMIT_FLAGS
MAPI_RECIPIENT_STATUS 0x0E15 MAPI_RECIPIENT_STATUS
MAPI_TRANSPORT_KEY 0x0E16 MAPI_TRANSPORT_KEY
MAPI_MSG_STATUS 0x0E17 MAPI_MSG_STATUS
MAPI_MESSAGE_DOWNLOAD_TIME 0x0E18 MAPI_MESSAGE_DOWNLOAD_TIME
MAPI_CREATION_VERSION 0x0E19 MAPI_CREATION_VERSION
MAPI_MODIFY_VERSION 0x0E1A MAPI_MODIFY_VERSION
MAPI_HASATTACH 0x0E1B MAPI_HASATTACH
MAPI_BODY_CRC 0x0E1C MAPI_BODY_CRC
MAPI_NORMALIZED_SUBJECT 0x0E1D MAPI_NORMALIZED_SUBJECT
MAPI_RTF_IN_SYNC 0x0E1F MAPI_RTF_IN_SYNC
MAPI_ATTACH_SIZE 0x0E20 MAPI_ATTACH_SIZE
MAPI_ATTACH_NUM 0x0E21 MAPI_ATTACH_NUM
MAPI_PREPROCESS 0x0E22 MAPI_PREPROCESS
MAPI_ORIGINATING_MTA_CERTIFICATE 0x0E25 MAPI_ORIGINATING_MTA_CERTIFICATE
MAPI_PROOF_OF_SUBMISSION 0x0E26 MAPI_PROOF_OF_SUBMISSION
MAPI_ENTRYID 0x0FFF MAPI_ENTRYID
MAPI_OBJECT_TYPE 0x0FFE MAPI_OBJECT_TYPE
MAPI_ICON 0x0FFD MAPI_ICON
MAPI_MINI_ICON 0x0FFC MAPI_MINI_ICON
MAPI_STORE_ENTRYID 0x0FFB MAPI_STORE_ENTRYID
MAPI_STORE_RECORD_KEY 0x0FFA MAPI_STORE_RECORD_KEY
MAPI_RECORD_KEY 0x0FF9 MAPI_RECORD_KEY
MAPI_MAPPING_SIGNATURE 0x0FF8 MAPI_MAPPING_SIGNATURE
MAPI_ACCESS_LEVEL 0x0FF7 MAPI_ACCESS_LEVEL
MAPI_INSTANCE_KEY 0x0FF6 MAPI_INSTANCE_KEY
MAPI_ROW_TYPE 0x0FF5 MAPI_ROW_TYPE
MAPI_ACCESS 0x0FF4 MAPI_ACCESS
MAPI_ROWID 0x3000 MAPI_ROWID
MAPI_DISPLAY_NAME 0x3001 MAPI_DISPLAY_NAME
MAPI_ADDRTYPE 0x3002 MAPI_ADDRTYPE
MAPI_EMAIL_ADDRESS 0x3003 MAPI_EMAIL_ADDRESS
MAPI_COMMENT 0x3004 MAPI_COMMENT
MAPI_DEPTH 0x3005 MAPI_DEPTH
