# names.data -- data file defining names of all attributes found in TNEF file
# sym                           val     name
attOWNER                        0x0000  Owner
attSENTFOR                      0x0001  Sent For
attDELEGATE                     0x0002  Delegate
attDATESTART                    0x0006  Date Start
attDATEEND                      0x0007  Date End
attAIDOWNER                     0x0008  Owner Appointment ID
attREQUESTRES                   0x0009  Response Requested.
attFROM                         0x8000  From
attSUBJECT                      0x8004  Subject
attDATESENT                     0x8005  Date Sent
attDATERECD                     0x8006  Date Recieved
attMESSAGESTATUS                0x8007  Message Status
attMESSAGECLASS                 0x8008  Message Class
attMESSAGEID                    0x8009  Message ID
attPARENTID                     0x800a  Parent ID
attCONVERSATIONID               0x800b  Conversation ID
attBODY                         0x800c  Body
attPRIORITY                     0x800d  Priority
attATTACHDATA                   0x800f  Attachment Data
attATTACHTITLE                  0x8010  Attachment File Name
attATTACHMETAFILE               0x8011  Attachment Meta File
attATTACHCREATEDATE             0x8012  Attachment Creation Date
attATTACHMODIFYDATE             0x8013  Attachment Modification Date
attDATEMODIFY                   0x8020  Date Modified
attATTACHTRANSPORTFILENAME      0x9001  Attachment Transport Filename
attATTACHRENDDATA               0x9002  Attachment Rendering Data
attMAPIPROPS                    0x9003  MAPI Properties
attRECIPTABLE                   0x9004  Recipients
attATTACHMENT                   0x9005  Attachment
attTNEFVERSION                  0x9006  TNEF Version
attOEMCODEPAGE                  0x9007  OEM Codepage
attORIGNINALMESSAGECLASS        0x9008  Original Message Class
